title,release,synopsis,seasons,episodes,genres,img_path
It's Okay to Not Be Okay,2020,"Desperate to escape from his emotional baggage and the heavy responsibility he’s had all his life, a psychiatric ward worker begins to heal with help from the unexpected—a woman who writes fairy tales but doesn’t believe in them.",1,16,"Drama, Comedy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/6CvvTWcw9vSf5Zpgeot2ppE0P2D.jpg
BEASTARS,2019,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.",2,12,"Animation, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/zKEFedE4KEUWdfPvjVC9G1VyEoK.jpg
Saint Seiya The Lost Canvas,2009,"An orphan known as Tenma becomes one of Athena's 88 warriors known as Saints and finds himself in a war fighting against his best friend Alone who is revealed to be the reincarnation of Athena's biggest enemy, the God Hades.",1,26,"Animation, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/eJNAxUHVXXUSbuc6D1ojSYH6S1r.jpg
The Exorcist,2016,Follow the lives of two very different priests tackling one family’s case of terrifying demonic possession.,2,10,"Mystery, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/gcXOCWdv0ulNxEqV6jvZcUdZZRa.jpg
Castlevania,2017,"A dark medieval fantasy following the last surviving member of the disgraced Belmont clan, trying to save Eastern Europe from extinction at the hand of Vlad Dracula Tepe himself. Inspired by the classic video game series.",4,10,"Sci-Fi & Fantasy, Animation",https://image.tmdb.org/t/p/w600_and_h900_bestv2/lqS90fU1IEHSbga7X6Gej5amBvR.jpg
How to Get Away with Murder,2014,"A sexy, suspense-driven legal thriller about a group of ambitious law students and their brilliant, mysterious criminal defense professor. They become entangled in a murder plot and will shake the entire university and change the course of their lives.",6,15,"Crime, Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/bJs8Y6T88NcgksxA8UaVl4YX8p8.jpg
The Good Wife,2009,Alicia Florrick boldly assumes full responsibility for her family and re-enters the workforce after her husband's very public sex and political corruption scandal lands him in jail.,7,22,Drama,https://image.tmdb.org/t/p/w600_and_h900_bestv2/lasNCd45fpPLirlA7QxkuopWro.jpg
It's Always Sunny in Philadelphia,2005,"Four egocentric friends run a neighborhood Irish pub in Philadelphia and try to find their way through the adult world of work and relationships. Unfortunately, their warped views and precarious judgments often lead them to trouble, creating a myriad of uncomfortable situations that usually only get worse before they get better.",15,8,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/wcx6UpgShkHEACLzxZGGvR2GBNB.jpg
I Am Not a Robot,2017,"Kim Min Gyu has wealth and success, but lives an isolated life due to his allergy of people. He then meets and falls in love with a girl who is pretending to be a robot for her ex-boyfriend, a genius robots professor.",1,32,"Comedy, Sci-Fi & Fantasy, Drama, Family",https://image.tmdb.org/t/p/w600_and_h900_bestv2/2l1KTliFU7SjNT1OpTojbvjEnZe.jpg
Violet Evergarden,2018,"The Great War finally came to an end after four long years of conflict; fractured in two, the continent of Telesis slowly began to flourish once again. Caught up in the bloodshed was Violet Evergarden, a young girl raised for the sole purpose of decimating enemy lines. Hospitalized and maimed in a bloody skirmish during the War's final leg, she was left with only words from the person she held dearest, but with no understanding of their meaning.",1,13,"Animation, Sci-Fi & Fantasy, Drama",https://image.tmdb.org/t/p/w600_and_h900_bestv2/ImvHbM4GsJJykarnOzhtpG6ax6.jpg
Sabikui Bisco,2022,One rogue explores and tries to survive in the barren wasteland of a far-future Japan!,1,12,"Animation, Action & Adventure, Comedy, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/j0svbwWz6I0qOoR8pFIDoAiSFCW.jpg
Knight Rider,1982,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",4,22,"Action & Adventure, Drama, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/t57NXzTrwp5rnPXiaX4BThrDxt1.jpg
Sherlock,2010,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,4,3,"Crime, Drama, Mystery",https://image.tmdb.org/t/p/w600_and_h900_bestv2/7WTsnHkbA0FaG6R9twfFde0I9hl.jpg
Hannibal,2013,"Both a gift and a curse, Graham has the extraordinary ability to think like his prey—he sees what they see, feels what they feel. But while Graham is pursuing an especially troubling, cannibalistic murderer, Special Agent Jack Crawford teams him with a highly respected psychiatrist – a man with a taste for the criminal minded – Dr. Hannibal Lecter.",3,13,"Drama, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/imzvb941su6uhQ158GGurk7vF28.jpg
Heels,2021,"In a close-knit Georgia community, a family-owned wrestling promotion finds two brothers and rivals war over their late father’s legacy. In the ring, somebody must play the good guy and somebody must play their nemesis, the heel. But in the real world, those characters can be hard to live up to (and just as hard to leave behind).",1,8,"Drama, Action & Adventure",https://image.tmdb.org/t/p/w600_and_h900_bestv2/69kPJaCFMXuZfbCrbDaYfMZbtJt.jpg
The End of the F***ing World,2017,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a darkly comedic road trip in search of her real father.",2,8,"Comedy, Drama, Crime",https://image.tmdb.org/t/p/w600_and_h900_bestv2/f1OV9xEJCZVYcYSDRr5xOD8NJw3.jpg
SAINT SEIYA: Knights of the Zodiac,2019,"Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all.",1,12,"Animation, Action & Adventure, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/yzfjuIkWzO0ImMEgg9fMHDzR3JP.jpg
Person of Interest,2011,"John Reese, former CIA paramilitary operative, is presumed dead and teams up with reclusive billionaire Finch to prevent violent crimes in New York City by initiating their own type of justice. With the special training that Reese has had in Covert Operations and Finch's genius software inventing mind, the two are a perfect match for the job that they have to complete. With the help of surveillance equipment, they work ""outside the law"" and get the right criminal behind bars. ",5,13,"Drama, Action & Adventure, Crime, Sci-Fi & Fantasy",https://image.tmdb.org/t/p/w600_and_h900_bestv2/cQEktLlZ3GgygeAz6h2edB55xSQ.jpg
"Médicos, línea de vida",2020,We don't have an overview translated in English. Help us expand our database by adding one.,1,86,,https://image.tmdb.org/t/p/w600_and_h900_bestv2/zH5Qx1etw2b61zoQkQ1egMGlIfO.jpg
Onii-chan Asa made Zutto Gyutte Shite!,2020,Growing up I was a sickly child and due to this my parents designed an experiment to attempt to help me improve my immunity by hugging my sisters for extended periods each day.,1,4,Animation,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fikdxPqIBSVXN5GWaUjXOxjQyl6.jpg
Le fabuleux printemps de Marie-Lyne,2022,We don't have an overview translated in English. Help us expand our database by adding one.,1,20,Talk,https://image.tmdb.org/t/p/w600_and_h900_bestv2/fkAdduSOeiaJfBsQ70seCmnAhZo.jpg
Community,2009,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",6,13,Comedy,https://image.tmdb.org/t/p/w600_and_h900_bestv2/3KUjDt8XY7w2Ku70UE0SECmv1zP.jpg
